iot_lora_id,port,arrtime,rssi,district,post_code,recording
1605,6,26/03/2024 14:13,-74,20,201007,audio/mpeg
12604,6,26/03/2024 14:14,-63,46,461031,audio/mpeg
12564,6,26/03/2024 14:15,-54,46,461031,audio/mpeg
22209,6,28/03/2024 10:02,-92,15,150089,audio/mpeg
19215,6,28/03/2024 14:44,-68,33,330033,audio/mpeg
12986,6,28/03/2024 21:07,-98,46,461031,audio/mpeg
22111,6,28/03/2024 21:21,-63,15,150089,audio/mpeg
20176,6,29/03/2024 04:23,-92,33,330031,audio/mpeg
13970,6,29/03/2024 10:07,-88,56,560217,audio/mpeg
13970,6,29/03/2024 10:10,-90,56,560217,audio/mpeg
4801,6,29/03/2024 18:47,-72,16,160106,audio/mpeg
18722,6,30/03/2024 06:34,-80,27,271001,audio/mpeg
3936,6,30/03/2024 08:18,-66,5,50005,audio/mpeg
21571,6,30/03/2024 13:33,-63,46,461023,audio/mpeg
7964,6,30/03/2024 21:29,-87,33,330061,audio/mpeg
2356,6,31/03/2024 10:02,-96,19,190005,audio/mpeg
21466,6,31/03/2024 12:10,-80,46,460024,audio/mpeg
4227,6,31/03/2024 15:46,-96,56,560115,audio/mpeg
1380,6,31/03/2024 23:44,-78,20,201007,audio/mpeg
14949,6,02/04/2024 11:26,-60,73,730003,audio/mpeg
2905,6,02/04/2024 11:55,-63,57,570026,audio/mpeg
2905,6,02/04/2024 11:55,-92,57,570026,audio/mpeg
2905,6,02/04/2024 11:55,-65,57,570026,audio/mpeg
2905,6,02/04/2024 11:55,-104,57,570026,audio/mpeg
2905,6,02/04/2024 11:55,-75,57,570026,audio/mpeg
2905,6,02/04/2024 11:55,-88,57,570026,audio/mpeg
2905,6,02/04/2024 11:58,-63,57,570026,audio/mpeg
2905,6,02/04/2024 11:58,-92,57,570026,audio/mpeg
2905,6,02/04/2024 11:59,-63,57,570026,audio/mpeg
2905,6,02/04/2024 11:59,-94,57,570026,audio/mpeg
2905,6,02/04/2024 11:59,-86,57,570026,audio/mpeg
2905,6,02/04/2024 11:59,-79,57,570026,audio/mpeg
2905,6,02/04/2024 11:59,-92,57,570026,audio/mpeg
12974,6,02/04/2024 17:55,-80,46,461031,audio/mpeg
12974,6,02/04/2024 17:55,-80,46,461031,audio/mpeg
8062,6,02/04/2024 21:56,-66,16,160051,audio/mpeg
2317,6,02/04/2024 22:50,-64,19,190004,audio/mpeg
2317,6,02/04/2024 22:50,-64,19,190004,audio/mpeg
5485,6,03/04/2024 04:04,-88,16,160051,audio/mpeg
20475,6,03/04/2024 05:59,-57,19,190009,audio/mpeg
14718,6,03/04/2024 22:12,-64,73,730004,audio/mpeg
14564,6,04/04/2024 15:34,-78,73,730004,audio/mpeg
20054,6,04/04/2024 17:33,-86,56,56042,audio/mpeg
20054,6,05/04/2024 13:49,-62,56,56042,audio/mpeg
20054,6,05/04/2024 15:09,-38,56,56042,audio/mpeg
19362,6,05/04/2024 18:20,-90,33,330032,audio/mpeg
19362,6,05/04/2024 18:20,-90,33,330032,audio/mpeg
2673,6,06/04/2024 10:32,-82,19,190005,audio/mpeg
15810,6,06/04/2024 10:42,-86,15,150003,audio/mpeg
2673,6,06/04/2024 11:17,-70,19,190005,audio/mpeg
2673,6,06/04/2024 11:41,-87,19,190005,audio/mpeg
14545,6,06/04/2024 16:32,-74,73,730004,audio/mpeg
8850,6,06/04/2024 17:05,-86,33,330062,audio/mpeg
11953,6,07/04/2024 06:15,-80,15,150003,audio/mpeg
3091,6,07/04/2024 10:29,-60,16,160106,audio/mpeg
3091,6,07/04/2024 10:36,-58,16,160106,audio/mpeg
3091,6,07/04/2024 10:39,-54,16,160106,audio/mpeg
3091,6,07/04/2024 10:42,-68,16,160106,audio/mpeg
9022,6,07/04/2024 12:21,-70,20,201007,audio/mpeg
12409,6,07/04/2024 21:16,-48,15,151117,audio/mpeg
12409,6,07/04/2024 21:16,-48,15,151117,audio/mpeg
15196,6,07/04/2024 21:18,-52,46,461038,audio/mpeg
1492,6,07/04/2024 22:19,-81,31,310005,audio/mpeg
1492,6,07/04/2024 23:07,-74,31,310005,audio/mpeg
1957,6,07/04/2024 23:16,-57,31,310005,audio/mpeg
3512,6,07/04/2024 23:52,-93,56,560257,audio/mpeg
3512,6,08/04/2024 01:06,-84,56,560257,audio/mpeg
3512,6,08/04/2024 01:08,-84,56,560257,audio/mpeg
3512,6,08/04/2024 01:08,-88,56,560257,audio/mpeg
3512,6,08/04/2024 01:19,-90,56,560257,audio/mpeg
3512,6,08/04/2024 01:24,-88,56,560257,audio/mpeg
3512,6,08/04/2024 01:33,-100,56,560257,audio/mpeg
3512,6,08/04/2024 01:34,-87,56,560257,audio/mpeg
3512,6,08/04/2024 01:37,-86,56,560257,audio/mpeg
3512,6,08/04/2024 01:48,-86,56,560257,audio/mpeg
3512,6,08/04/2024 02:02,-86,56,560257,audio/mpeg
3512,6,08/04/2024 02:08,-98,56,560257,audio/mpeg
3512,6,08/04/2024 02:15,-80,56,560257,audio/mpeg
3512,6,08/04/2024 02:15,-80,56,560257,audio/mpeg
3512,6,08/04/2024 02:20,-84,56,560257,audio/mpeg
3512,6,08/04/2024 02:20,-84,56,560257,audio/mpeg
3512,6,08/04/2024 02:26,-88,56,560257,audio/mpeg
3512,6,08/04/2024 02:26,-88,56,560257,audio/mpeg
3512,6,08/04/2024 02:31,-86,56,560257,audio/mpeg
3512,6,08/04/2024 02:40,-84,56,560257,audio/mpeg
3512,6,08/04/2024 02:47,-81,56,560257,audio/mpeg
3512,6,08/04/2024 02:59,-81,56,560257,audio/mpeg
3512,6,08/04/2024 03:09,-84,56,560257,audio/mpeg
3512,6,08/04/2024 03:17,-84,56,560257,audio/mpeg
3512,6,08/04/2024 03:17,-84,56,560257,audio/mpeg
3512,6,08/04/2024 03:22,-81,56,560257,audio/mpeg
3512,6,08/04/2024 03:28,-84,56,560257,audio/mpeg
3512,6,08/04/2024 04:14,-82,56,560257,audio/mpeg
3512,6,08/04/2024 04:29,-84,56,560257,audio/mpeg
3512,6,08/04/2024 04:41,-78,56,560257,audio/mpeg
3512,6,08/04/2024 05:09,-88,56,560257,audio/mpeg
3512,6,08/04/2024 06:46,-81,56,560257,audio/mpeg
5418,6,08/04/2024 08:43,-91,16,160051,audio/mpeg
8832,6,08/04/2024 09:32,-90,33,330062,audio/mpeg
5418,6,08/04/2024 10:18,-91,16,160051,audio/mpeg
9875,6,08/04/2024 12:50,-66,16,160052,audio/mpeg
5418,6,08/04/2024 14:01,-87,16,160051,audio/mpeg
20106,6,08/04/2024 14:39,-68,33,330033,audio/mpeg
22206,6,08/04/2024 14:40,-86,9,90003,audio/mpeg
5418,6,08/04/2024 16:51,-88,16,160051,audio/mpeg
14995,6,08/04/2024 19:49,-75,73,730004,audio/mpeg
14995,6,08/04/2024 19:49,-75,73,730004,audio/mpeg
10116,6,08/04/2024 22:55,-82,21,210047,audio/mpeg
10116,6,08/04/2024 23:04,-81,21,210047,audio/mpeg
10116,6,08/04/2024 23:16,-77,21,210047,audio/mpeg
10116,6,08/04/2024 23:18,-80,21,210047,audio/mpeg
10116,6,08/04/2024 23:22,-78,21,210047,audio/mpeg
10116,6,08/04/2024 23:23,-84,21,210047,audio/mpeg
10116,6,08/04/2024 23:23,-80,21,210047,audio/mpeg
10116,6,08/04/2024 23:42,-84,21,210047,audio/mpeg
10116,6,08/04/2024 23:53,-79,21,210047,audio/mpeg
10116,6,09/04/2024 00:03,-82,21,210047,audio/mpeg
10116,6,09/04/2024 00:12,-86,21,210047,audio/mpeg
10116,6,09/04/2024 00:31,-79,21,210047,audio/mpeg
10116,6,09/04/2024 00:53,-84,21,210047,audio/mpeg
1988,6,09/04/2024 06:27,-81,16,160105,audio/mpeg
10116,6,09/04/2024 06:31,-79,21,210047,audio/mpeg
7787,6,09/04/2024 07:43,-90,33,330062,audio/mpeg
10116,6,09/04/2024 08:07,-81,21,210047,audio/mpeg
10116,6,09/04/2024 08:20,-82,21,210047,audio/mpeg
6613,6,09/04/2024 09:11,-108,56,560115,audio/mpeg
10116,6,09/04/2024 13:30,-81,21,210047,audio/mpeg
10116,6,09/04/2024 13:36,-80,21,210047,audio/mpeg
10116,6,09/04/2024 13:47,-106,21,210047,audio/mpeg
10116,6,09/04/2024 13:56,-81,21,210047,audio/mpeg
10116,6,09/04/2024 14:04,-84,21,210047,audio/mpeg
20054,6,09/04/2024 14:37,-72,56,56042,audio/mpeg
21686,6,09/04/2024 17:16,-52,73,730003,audio/mpeg
5624,6,09/04/2024 23:43,-75,9,90019,audio/mpeg
5525,6,10/04/2024 00:08,-72,16,160052,audio/mpeg
4193,6,10/04/2024 09:55,-68,56,560115,audio/mpeg
18578,6,10/04/2024 17:58,-94,33,330032,audio/mpeg
18578,6,10/04/2024 18:00,-99,33,330032,audio/mpeg
5274,6,10/04/2024 18:02,-80,20,201007,audio/mpeg
18578,6,10/04/2024 18:03,-96,33,330032,audio/mpeg
7300,6,10/04/2024 18:28,-52,16,160124,audio/mpeg
10763,6,10/04/2024 20:27,-94,15,150003,audio/mpeg
15429,6,10/04/2024 21:28,-85,73,730003,audio/mpeg
10926,6,10/04/2024 21:57,-94,9,90004,audio/mpeg
16181,6,11/04/2024 08:51,-96,56,560123,audio/mpeg
19358,6,11/04/2024 13:38,-82,56,560318,audio/mpeg
11763,6,11/04/2024 15:22,-76,9,90004,audio/mpeg
7897,6,11/04/2024 15:45,-90,33,330062,audio/mpeg
16042,6,11/04/2024 16:39,-58,46,460012,audio/mpeg
13110,6,11/04/2024 17:52,-87,46,460012,audio/mpeg
21888,6,11/04/2024 20:04,-85,15,151123,audio/mpeg
5857,6,11/04/2024 22:16,-76,9,90019,audio/mpeg
13080,6,12/04/2024 09:00,-88,46,46003,audio/mpeg
14666,6,12/04/2024 09:34,-110,73,730004,audio/mpeg
14666,6,12/04/2024 10:48,-100,73,730004,audio/mpeg
5030,6,12/04/2024 11:06,-72,16,160124,audio/mpeg
9648,6,12/04/2024 13:36,-86,16,160052,audio/mpeg
19560,6,12/04/2024 15:48,-64,19,190008,audio/mpeg
12801,6,12/04/2024 18:42,-76,46,461031,audio/mpeg
19722,6,12/04/2024 19:38,-96,19,190009,audio/mpeg
4910,6,12/04/2024 20:03,-51,16,160106,audio/mpeg
6597,6,12/04/2024 20:27,-90,56,560115,audio/mpeg
5409,6,13/04/2024 06:24,-99,15,150089,audio/mpeg
14545,6,13/04/2024 12:22,-72,73,730004,audio/mpeg
21708,6,13/04/2024 14:10,-81,15,150003,audio/mpeg
4382,6,13/04/2024 16:47,-70,5,50005,audio/mpeg
1595,6,13/04/2024 19:43,-82,19,190004,audio/mpeg
1595,6,13/04/2024 19:51,-90,19,190004,audio/mpeg
3125,6,14/04/2024 05:24,-72,57,570026,audio/mpeg
14545,6,14/04/2024 12:40,-72,73,730004,audio/mpeg
20081,6,14/04/2024 14:16,-81,33,330033,audio/mpeg
7586,6,14/04/2024 14:44,-73,16,161079,audio/mpeg
19844,6,14/04/2024 17:04,-88,19,190009,audio/mpeg
10709,6,14/04/2024 17:08,-62,15,151123,audio/mpeg
15310,6,14/04/2024 17:38,-81,46,461039,audio/mpeg
11976,6,14/04/2024 19:22,-94,9,90004,audio/mpeg
10077,6,14/04/2024 19:41,-60,56,560257,audio/mpeg
19509,6,14/04/2024 23:19,-69,19,190009,audio/mpeg
3125,6,15/04/2024 06:02,-74,57,570026,audio/mpeg
18451,6,15/04/2024 11:18,-90,27,271001,audio/mpeg
16233,6,15/04/2024 15:08,-66,15,15009,audio/mpeg
21152,6,15/04/2024 15:49,-72,19,190008,audio/mpeg
21977,6,15/04/2024 17:31,-70,33,330031,audio/mpeg
14545,6,15/04/2024 18:14,-69,73,730004,audio/mpeg
14545,6,15/04/2024 18:15,-68,73,730004,audio/mpeg
14545,6,15/04/2024 18:15,-70,73,730004,audio/mpeg
5418,6,15/04/2024 21:34,-94,16,160051,audio/mpeg
16173,6,15/04/2024 22:22,-86,46,460012,audio/mpeg
16173,6,15/04/2024 22:29,-84,46,460012,audio/mpeg
16173,6,16/04/2024 03:53,-84,46,460012,audio/mpeg
16173,6,16/04/2024 04:03,-90,46,460012,audio/mpeg
14545,6,16/04/2024 04:03,-78,73,730004,audio/mpeg
6933,6,16/04/2024 05:52,-90,16,160051,audio/mpeg
9230,6,16/04/2024 07:23,-92,16,161079,audio/mpeg
