Date,AH,CGH,KTPH,NTFGH,NUH(A),SGH,SKH,TTSH,WH
9/9/23,0.7,0.87,0.97,0.94,0.85,0.84,0.88,0.95,
10/9/23,0.7,0.89,1,0.96,0.88,0.86,0.9,0.98,
11/9/23,0.79,0.88,0.99,0.97,0.9,0.88,0.9,0.98,
12/9/23,0.77,0.89,0.99,0.96,0.91,0.88,0.92,0.98,
13/9/23,0.76,0.89,0.98,0.99,0.89,0.89,0.92,0.98,
14/9/23,0.75,0.89,1,0.97,0.9,0.89,0.93,0.98,
15/9/23,0.62,0.87,0.97,0.95,0.87,0.87,0.89,0.96,
16/9/23,0.66,0.89,0.98,0.94,0.86,0.85,0.89,0.98,
17/9/23,0.72,0.9,1,0.95,0.84,0.85,0.92,0.99,
18/9/23,0.75,0.9,1,0.99,0.88,0.87,0.95,1,
19/9/23,0.8,0.9,0.99,0.99,0.88,0.87,0.93,1,
20/9/23,0.82,0.89,0.96,0.97,0.86,0.87,0.87,0.99,
21/9/23,0.79,0.88,0.97,0.97,0.85,0.87,0.86,0.96,
22/9/23,0.7,0.87,0.93,0.95,0.85,0.8,0.82,0.95,
23/9/23,0.7,0.87,0.94,0.95,0.81,0.8,0.79,0.95,
24/9/23,0.68,0.88,0.99,0.99,0.83,0.81,0.82,0.97,
25/9/23,0.72,0.89,0.96,0.99,0.86,0.85,0.88,0.98,
26/9/23,0.7,0.9,1,1,0.86,0.88,0.87,0.99,
27/9/23,0.72,0.88,0.99,1,0.89,0.87,0.89,0.99,
28/9/23,0.75,0.89,0.96,1,0.89,0.86,0.86,0.98,
29/9/23,0.71,0.88,0.97,0.95,0.86,0.84,0.83,0.96,
30/9/23,0.72,0.88,1,0.96,0.84,0.81,0.86,0.97,
1/10/23,0.75,0.89,1,0.97,0.85,0.83,0.89,1,
2/10/23,0.76,0.9,1,0.97,0.89,0.87,0.89,0.98,
3/10/23,0.73,0.9,1,0.99,0.88,0.89,0.88,0.99,
4/10/23,0.73,0.89,1,0.97,0.87,0.89,0.88,0.97,
5/10/23,0.74,0.89,0.97,0.94,0.89,0.86,0.87,0.98,
6/10/23,0.67,0.88,1,0.94,0.87,0.82,0.86,0.95,
7/10/23,0.68,0.87,1,0.94,0.85,0.8,0.85,0.96,
8/10/23,0.69,0.87,1,0.97,0.86,0.83,0.88,0.99,
9/10/23,0.73,0.87,1,0.96,0.87,0.86,0.89,0.98,
10/10/23,0.78,0.9,0.98,0.98,0.89,0.87,0.9,0.98,
11/10/23,0.77,0.9,1,0.97,0.86,0.87,0.88,0.97,
12/10/23,0.76,0.9,1,0.99,0.88,0.87,0.83,0.97,
13/10/23,0.74,0.88,0.96,0.95,0.84,0.86,0.83,0.96,
