rssi,hour,2_hour_interval,Pi_is_emergency,is_emergency,is_emergency_pred,Pi_is_emergency_2,is_emergency_2_pred
-64,15,14,0.0022698802992166664,0,0,0.17335564162676678,0
-62,12,12,0.013141181821841246,0,0,0.18480116871709396,0
-62,19,18,0.00015008172562995393,0,0,0.12817314701923885,0
-91,13,12,0.005712504537207513,0,0,0.2512686041701909,0
-102,17,16,0.0003052096574637962,0,0,0.2140394401793019,0
-36,11,10,0.05376252458365572,0,0,0.1758901273099816,0
-76,22,22,1.0852182389906328e-05,0,0,0.10355905907237255,0
-88,12,12,0.008563876738172348,0,0,0.2329783080042529,0
-98,12,12,0.007260115863484582,0,0,0.2536880605701901,0
-81,10,10,0.03699727128771828,0,0,0.24899019390935512,0
-80,15,14,0.001740032607811347,0,0,0.20069135344832356,0
-80,8,8,0.13392339172707352,0,0,0.27910171362774205,0
-94,11,10,0.021176676808929398,0,0,0.29074639005567704,0
-80,13,12,0.006852604000721382,0,0,0.22870421259614274,0
-96,15,14,0.0013336994926872697,0,0,0.23113230152137998,0
-68,11,10,0.032275930487038015,0,0,0.23427210061985065,0
-86,17,16,0.00039832169378293484,0,0,0.18530711661990876,0
-77,12,12,0.01026717560176957,0,0,0.21159224633878623,0
-82,10,10,0.036408709322939395,0,0,0.2511004041639826,0
-74,14,14,0.002747257301942245,0,0,0.18013245363997812,0
-76,22,22,1.0852182389906328e-05,0,0,0.10355905907237255,0
-45,11,10,0.04663079301854477,0,0,0.19105555227908627,0
-92,14,14,0.00203738315773763,0,0,0.21200302441695276,0
-80,21,20,2.8100687222993507e-05,0,0,0.13227535122208106,0
-98,14,14,0.0018440737056946326,0,0,0.2235018052413177,0
-37,12,12,0.019789852724350267,0,0,0.1461053048955762,0
-76,11,10,0.02836560418084381,0,0,0.25080596025320995,0
-74,10,10,0.04138059253781856,0,0,0.23455321088541806,0
-81,6,6,0.3757813960283176,0,0,0.31619102586178954,0
-60,19,18,0.00015516191304274063,0,0,0.12567916184834607,0
-84,23,22,6.641696559036954e-06,0,0,0.11896031980054364,0
-80,19,18,0.00011122669502895536,0,0,0.15256128669077731,0
-62,20,20,5.423043192182484e-05,0,0,0.1043781574344572,0
-51,22,22,1.645351235306837e-05,0,0,0.0802010113926106,0
-95,13,12,0.005346472929303443,0,0,0.2598313672177296,0
-110,11,10,0.016305628567729692,0,0,0.32922078717936254,0
-110,11,10,0.016305628567729692,0,0,0.32922078717936254,0
-60,5,4,0.7026878973887998,1,1,0.3153209683805309,0
-58,10,10,0.05333623817903194,0,0,0.20378112980966015,0
-80,6,6,0.37969431118361163,0,0,0.3137629827676547,0
-44,16,16,0.0011454099071043452,0,0,0.11718297517066842,0
-79,19,18,0.0001130935875060859,0,0,0.1511120897751976,0
-95,15,14,0.0013560572403182418,0,0,0.22913855621661902,0
-78,15,14,0.0017988349696382302,0,0,0.19710532915699566,0
-88,21,20,2.459690095392363e-05,0,0,0.1429546342173148,0
-76,9,8,0.1035913284712553,0,0,0.28333432804678355,0
-90,20,20,3.402660282161095e-05,0,0,0.1377137885491949,0
-35,17,16,0.0009305085743797011,0,0,0.11357760916032127,0
-83,15,14,0.001655407525753713,0,0,0.20616160650184018,0
-52,17,16,0.0007013165664156667,0,0,0.13430681772810354,0
-61,11,10,0.036120863175361846,0,0,0.22043801623164386,0
-111,14,14,0.0014857552932307436,0,0,0.2499115813929933,0
-68,15,14,0.00212396536196493,0,0,0.1799012370597903,0
-63,12,12,0.012927034171078917,0,0,0.18650246848376514,0
-78,3,2,0.8739496666281239,1,1,0.39975984071622706,0
-56,12,12,0.01450153262927343,0,0,0.1748451343174485,0
-95,11,10,0.020834347871634955,0,0,0.2930723871422606,0
-73,13,12,0.007693009868105966,0,0,0.2151065562098481,0
-80,20,20,4.0189583286095826e-05,0,0,0.1248872739150945,0
-74,14,14,0.002747257301942245,0,0,0.18013245363997812,0
-87,18,18,0.00014157590665206285,0,0,0.15422607041231995,0
-72,12,12,0.011148409849916807,0,0,0.20235822251115254,0
-74,15,14,0.0019224567078031487,0,0,0.19007885575157282,0
-92,20,20,3.29124004179939e-05,0,0,0.14040823787586937,0
-88,19,18,9.73591975375338e-05,0,0,0.16456774569332783,0
-110,11,10,0.016305628567729692,0,0,0.32922078717936254,0
-56,14,14,0.0037035510704104112,0,0,0.15212805046508157,0
-84,12,12,0.009148153173227046,0,0,0.2250314423213011,0
-78,3,2,0.8739496666281239,1,1,0.39975984071622706,0
-55,12,12,0.014741373692956389,0,0,0.17322753011066416,0
-50,18,18,0.0002620825352546385,0,0,0.1073405138409225,0
-84,21,20,2.629049069459967e-05,0,0,0.13752788685844844,0
-110,14,14,0.0015106582039233186,0,0,0.2478080559458841,0
-85,7,6,0.28253788658545215,0,0,0.3406571799645464,0
-86,15,14,0.001574891623251755,0,0,0.21174146425910842,0
-69,14,14,0.002985001698026742,0,0,0.17197188547743825,0
-67,11,10,0.0327999584587078,0,0,0.23225945292940772,0
-65,18,18,0.0002041817167857267,0,0,0.12461859733166927,0
-85,18,18,0.00014636821871802442,0,0,0.1513131322500612,0
-54,10,10,0.05680013821075469,0,0,0.19657494090847272,0
-66,14,14,0.0031373825561826045,0,0,0.16721772274265623,0
-78,16,16,0.0006506751032498245,0,0,0.16290445620465302,0
-88,17,16,0.0003852832309144019,0,0,0.1887289466114001,0
-72,12,12,0.011148409849916807,0,0,0.20235822251115254,0
-68,6,6,0.4277394122921192,0,0,0.2854424771461961,0
-70,22,22,1.1992097255624418e-05,0,0,0.09745663501022518,0
-62,11,10,0.03554572871034374,0,0,0.2223778967436806,0
-70,12,12,0.011521487704000483,0,0,0.19874981991966376,0
-62,13,12,0.00922471063929407,0,0,0.19494406721371468,0
-72,15,14,0.0019874116048324186,0,0,0.1866381813170506,0
-84,14,14,0.002326937695944406,0,0,0.19735333613448236,0
-108,12,12,0.006153607035360661,0,0,0.2755773215725003,0
-78,5,4,0.6365640515725538,1,1,0.3605904280743521,0
-112,12,12,0.005759475282811292,0,0,0.28465353980706976,0
-93,21,20,2.263249595772266e-05,0,0,0.14998766815725945,0
-62,14,14,0.0033526846327693064,0,0,0.16104298784940618,0
-79,15,14,0.0017691899375665745,0,0,0.19889226590699005,0
-75,21,20,3.053969361555852e-05,0,0,0.1259497960082608,0
-58,12,12,0.014033327753123298,0,0,0.17811601287487733,0
-68,20,20,4.907572784691042e-05,0,0,0.11086074956186849,0
-57,19,18,0.0001631063807836934,0,0,0.12201617882947303,0
-82,16,16,0.0006087841809548836,0,0,0.16913617485760496,0
-51,14,14,0.004023718091359118,0,0,0.14501177447909636,0
-78,11,10,0.027462249499229156,0,0,0.25505861674165237,0
-40,13,12,0.013250708572574687,0,0,0.15898918784779406,0
-98,23,22,5.2609358528465695e-06,0,0,0.13648829289610373,0
-85,21,20,2.5856463346568475e-05,0,0,0.13886811992013426,0
-78,11,10,0.027462249499229156,0,0,0.25505861674165237,0
-109,14,14,0.0015359778730162383,0,0,0.2457164359991127,0
-94,18,18,0.00012600500710759028,0,0,0.16478321482518063,0
-54,15,14,0.0026799211934713197,0,0,0.15781704974309116,0
-103,20,20,2.7405302680728662e-05,0,0,0.1560233970398471,0
-46,20,20,7.078023762020168e-05,0,0,0.08870517857330633,0
-48,0,0,0.9847744987465357,1,1,0.34441599906407894,0
-94,14,14,0.001970798257482872,0,0,0.21578724382321762,0
-76,10,10,0.04007984921011341,0,0,0.23861805882564266,0
-99,6,6,0.30849996319770234,0,0,0.3615194418834894,0
-57,17,16,0.0006453415530305887,0,0,0.14098438642944133,0
-64,22,22,1.3251747363049103e-05,0,0,0.09167703321271377,0
-94,21,20,2.2258856771805276e-05,0,0,0.15142800522478242,0
-90,12,12,0.008285766647094357,0,0,0.23702431411911637,0
-76,19,18,0.00011888436488562784,0,0,0.1468323366811397,0
-30,15,14,0.00399084629534904,0,0,0.12513938723087845,0
-88,14,14,0.0021773629368368273,0,0,0.20458079399171672,0
-84,18,18,0.0001488248588396894,0,0,0.14987369483919039,0
-60,19,18,0.00015516191304274063,0,0,0.12567916184834607,0
-84,23,22,6.641696559036954e-06,0,0,0.11896031980054364,0
-81,3,2,0.8683445249909213,1,1,0.4078872149526572,0
-88,10,10,0.03306224816427846,0,0,0.26400929798499356,0
-86,2,2,0.896691322378475,1,1,0.40554982024323,0
-81,2,2,0.9041513148237708,1,1,0.3920605680061556,0
-92,17,16,0.0003604722615526688,0,0,0.1957175776986586,0
-74,14,14,0.002747257301942245,0,0,0.18013245363997812,0
-94,16,16,0.0004986021320843019,0,0,0.1889688946227877,0
-72,22,22,1.1599407205364543e-05,1,0,0.0994542764095196,0
-74,15,14,0.0019224567078031487,0,0,0.19007885575157282,0
-79,11,10,0.027021116896918704,0,0,0.2572026436863016,0
-102,14,14,0.0017254835976590855,0,0,0.23141078283523034,0
-52,11,10,0.04171553492351842,0,0,0.20352709348271014,0
-81,14,14,0.0024458075626431087,0,0,0.19206025487032058,0
-97,11,10,0.020165861941508913,0,0,0.297756881749426,0
-75,16,16,0.0006839730584498945,0,0,0.15835302431431436,0
-97,15,14,0.0013117098801843654,0,0,0.23313814789440301,0
-81,6,6,0.3757813960283176,0,0,0.31619102586178954,0
-70,11,10,0.0312520497764506,0,0,0.23833359374559107,0
-63,17,16,0.0005840334467298408,0,0,0.14936132693614274,0
-52,15,14,0.0027703978400942407,0,0,0.15484870477273852,0
